category;neighborhood;borough
Building;Runa;TORRES VEDRAS
Business Center;Dois Portos;TORRES VEDRAS
Business Center;Runa;TORRES VEDRAS
Office;Dois Portos;TORRES VEDRAS
Office;Runa;TORRES VEDRAS
ATM;Dois Portos;TORRES VEDRAS
ATM;Runa;TORRES VEDRAS
Food;Maxial;TORRES VEDRAS
Food;Monte Redondo;TORRES VEDRAS
Metro Station;Maxial;TORRES VEDRAS
Metro Station;Monte Redondo;TORRES VEDRAS
Gas Station;Maxial;TORRES VEDRAS
Gas Station;Monte Redondo;TORRES VEDRAS
Building;Maxial;TORRES VEDRAS
Building;Monte Redondo;TORRES VEDRAS
Business Center;Maxial;TORRES VEDRAS
Business Center;Monte Redondo;TORRES VEDRAS
Office;Maxial;TORRES VEDRAS
Office;Monte Redondo;TORRES VEDRAS
ATM;Maxial;TORRES VEDRAS
ATM;Monte Redondo;TORRES VEDRAS
Food;Santa Maria;TORRES VEDRAS
Food;São Pedro;TORRES VEDRAS
Food;Matacães;TORRES VEDRAS
Metro Station;Santa Maria;TORRES VEDRAS
Metro Station;São Pedro;TORRES VEDRAS
Metro Station;Matacães;TORRES VEDRAS
Gas Station;Santa Maria;TORRES VEDRAS
Gas Station;São Pedro;TORRES VEDRAS
Gas Station;Matacães;TORRES VEDRAS
Building;Santa Maria;TORRES VEDRAS
Building;São Pedro;TORRES VEDRAS
Building;Matacães;TORRES VEDRAS
Business Center;Santa Maria;TORRES VEDRAS
Business Center;São Pedro;TORRES VEDRAS
Business Center;Matacães;TORRES VEDRAS
Office;Santa Maria;TORRES VEDRAS
Office;São Pedro;TORRES VEDRAS
Office;Matacães;TORRES VEDRAS
ATM;Santa Maria;TORRES VEDRAS
ATM;São Pedro;TORRES VEDRAS
ATM;Matacães;TORRES VEDRAS
Metro Station;Vialonga;VILA FRANCA DE XIRA
Metro Station;Vialonga;VILA FRANCA DE XIRA
ATM;Vialonga;VILA FRANCA DE XIRA
Metro Station;Vila Franca de Xira;VILA FRANCA DE XIRA
Metro Station;Vila Franca de Xira;VILA FRANCA DE XIRA
Business Center;Vila Franca de Xira;VILA FRANCA DE XIRA
ATM;Vila Franca de Xira;VILA FRANCA DE XIRA
Food;Alhandra;VILA FRANCA DE XIRA
Food;São João dos Montes;VILA FRANCA DE XIRA
Food;Calhandriz;VILA FRANCA DE XIRA
Metro Station;Alhandra;VILA FRANCA DE XIRA
Metro Station;São João dos Montes;VILA FRANCA DE XIRA
Metro Station;Calhandriz;VILA FRANCA DE XIRA
Gas Station;Alhandra;VILA FRANCA DE XIRA
Gas Station;São João dos Montes;VILA FRANCA DE XIRA
Gas Station;Calhandriz;VILA FRANCA DE XIRA
Building;Alhandra;VILA FRANCA DE XIRA
Building;São João dos Montes;VILA FRANCA DE XIRA
Building;Calhandriz;VILA FRANCA DE XIRA
Business Center;Alhandra;VILA FRANCA DE XIRA
Business Center;São João dos Montes;VILA FRANCA DE XIRA
Business Center;Calhandriz;VILA FRANCA DE XIRA
Office;Alhandra;VILA FRANCA DE XIRA
Office;São João dos Montes;VILA FRANCA DE XIRA
Office;Calhandriz;VILA FRANCA DE XIRA
ATM;Alhandra;VILA FRANCA DE XIRA
ATM;São João dos Montes;VILA FRANCA DE XIRA
ATM;Calhandriz;VILA FRANCA DE XIRA
Food;Alverca do Ribatejo;VILA FRANCA DE XIRA
Food;Sobralinho;VILA FRANCA DE XIRA
Metro Station;Alverca do Ribatejo;VILA FRANCA DE XIRA
Gas Station;Sobralinho;VILA FRANCA DE XIRA
Metro Station;Sobralinho;VILA FRANCA DE XIRA
Building;Alverca do Ribatejo;VILA FRANCA DE XIRA
Building;Sobralinho;VILA FRANCA DE XIRA
Business Center;Alverca do Ribatejo;VILA FRANCA DE XIRA
Business Center;Sobralinho;VILA FRANCA DE XIRA
Office;Alverca do Ribatejo;VILA FRANCA DE XIRA
Office;Sobralinho;VILA FRANCA DE XIRA
ATM;Alverca do Ribatejo;VILA FRANCA DE XIRA
ATM;Sobralinho;VILA FRANCA DE XIRA
Food;Castanheira do Ribatejo;VILA FRANCA DE XIRA
Food;Cachoeiras;VILA FRANCA DE XIRA
Metro Station;Castanheira do Ribatejo;VILA FRANCA DE XIRA
Gas Station;Cachoeiras;VILA FRANCA DE XIRA
Metro Station;Cachoeiras;VILA FRANCA DE XIRA
Building;Castanheira do Ribatejo;VILA FRANCA DE XIRA
Building;Cachoeiras;VILA FRANCA DE XIRA
Business Center;Castanheira do Ribatejo;VILA FRANCA DE XIRA
Business Center;Cachoeiras;VILA FRANCA DE XIRA
Office;Castanheira do Ribatejo;VILA FRANCA DE XIRA
Office;Cachoeiras;VILA FRANCA DE XIRA
ATM;Castanheira do Ribatejo;VILA FRANCA DE XIRA
ATM;Cachoeiras;VILA FRANCA DE XIRA
Food;Póvoa de Santa Iria;VILA FRANCA DE XIRA
Food;Forte da Casa;VILA FRANCA DE XIRA
Metro Station;Póvoa de Santa Iria;VILA FRANCA DE XIRA
Gas Station;Forte da Casa;VILA FRANCA DE XIRA
Metro Station;Forte da Casa;VILA FRANCA DE XIRA
Building;Póvoa de Santa Iria;VILA FRANCA DE XIRA
Building;Forte da Casa;VILA FRANCA DE XIRA
Business Center;Póvoa de Santa Iria;VILA FRANCA DE XIRA
Business Center;Forte da Casa;VILA FRANCA DE XIRA
Office;Póvoa de Santa Iria;VILA FRANCA DE XIRA
Office;Forte da Casa;VILA FRANCA DE XIRA
ATM;Póvoa de Santa Iria;VILA FRANCA DE XIRA
ATM;Forte da Casa;VILA FRANCA DE XIRA
